year,entity_code,entity,affected_legal_good,type_of_crime,subtype_of_crime,modality,month,count,Date
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Intentional Homicide,With firearm,01,3.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Intentional Homicide,With sharp weapon,01,1.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Intentional Homicide,With another element,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Intentional Homicide,Not specified,01,2.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Manslaughter,With firearm,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Manslaughter,With sharp weapon,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Manslaughter,In traffic accident,01,14.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Manslaughter,With another element,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Homicide,Manslaughter,Not specified,01,2.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Intentional Injury,With firearm,01,2.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Intentional Injury,With sharp weapon,01,14.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Intentional Injury,With another element,01,142.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Intentional Injury,Not specified,01,14.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Unintentional Injury,With firearm,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Unintentional Injury,With sharp weapon,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Unintentional Injury,In traffic accident,01,48.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Unintentional Injury,With another element,01,2.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Injuries,Unintentional Injury,Not specified,01,6.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Feminicide,Feminicide,With firearm,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Feminicide,Feminicide,With sharp weapon,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Feminicide,Feminicide,With another element,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Feminicide,Feminicide,Not specified,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Abortion,Abortion,Abortion,01,0.0,2015-01-01
2015,1,Aguascalientes,Life and bodily integrity,Other crimes against life and bodily integrity,Other crimes against life and bodily integrity,Other crimes against life and bodily integrity,01,4.0,2015-01-01
2015,1,Aguascalientes,Personal freedom,Kidnapping,Kidnapping,Extortion kidnapping,01,0.0,2015-01-01
